"Latitude","Longitude","Code de l'entité","Libellé","Surface de bassin versant hydrologique (km²)","Surface de bassin versant topographique (km²)","Débit (m³/s)","Intervalle de confiance","Taille de l'échantillon"
"49.3745243","3.4797245","H643201101","La Vesle à Chassemy","","1460","","0.95","1"
"49.3870044","3.3297277","H6501020","L'Aisne à Soissons","","7359","195","0.95","20"
"49.3870044","3.3297277","H650102001","L'Aisne à Soissons - Le mail [station US]","","7359","195","0.95","20"
"49.3816235","3.3312681","H650102002","L'Aisne à Soissons - La passerelle des Anglais [mire historique]","","7359","252","0.95","11"
"49.3638883","3.3234011","H6513010","La Crise à Soissons","","119","2.07","0.95","32"
"49.3638883","3.3234011","H651301001","La Crise à Soissons","","119","2.07","0.95","32"
"49.4042617","3.3280483","H6521010","L'Aisne à Cuffies [Vauxrot]","","7352","","0.95","0"
"49.4042617","3.3280483","H652101001","L'Aisne à Cuffies [Vauxrot]","","7352","","0.95","0"
"49.3800656","3.1886934","H6523532","Le ru de Retz à Ambleny [Pont Cheminet]","","81.68","1.48","0.95","25"
"49.3800656","3.1886934","H652353201","Le ru de Retz à Ambleny [Pont Cheminet]","","81.68","1.48","0.95","25"
"49.4308021","0.3184787","H7000110","La Seine à Fatouville-Grestain","","","","0.95","0"
"49.4308021","0.3184787","H700011001","La Seine à Fatouville-Grestain","","","","0.95","0"
"49.9241514","4.0781945","H7021010","L'Oise à Hirson","","314","50.1","0.95","54"
"49.9241514","4.0781945","H702101001","L'Oise à Hirson - mire historique","","314","50.1","0.95","54"
"49.9242104","4.0784073","H702101002","L'Oise à Hirson - déversoir","","314","","0.95","3"
"49.8958109","4.0147888","H7033010","Le Ton à Origny-en-Thiérache","","256","25.4","0.95","56"
"49.8958109","4.0147888","H703301001","Le Ton à Origny-en-Thiérache","","256","25.4","0.95","56"
"49.4277848","0.2327908","H7040110","La Seine à Honfleur","","","","0.95","0"
"49.4277848","0.2327908","H704011001","La Seine à Honfleur","","","","0.95","0"
"49.8986854","3.6997192","H7041010","L'Oise à Monceau-sur-Oise","","852","","0.95","0"
"49.8986854","3.6997192","H704101001","L'Oise à Monceau-sur-Oise","","852","72.1","0.95","30"
"49.8944362","3.6651711","H7041025","L'Oise à Flavigny-le-Grand-et-Beaurain","","864.4","87.0","0.95","14"
"49.8944357","3.6651887","H704102501","L'Oise à Flavigny-le-Grand-et-Beaurain","","864.4","87.0","0.95","14"
"50.0094323","3.7516217","H7053110","Le Morteau au Nouvion-en-Thiérache [Moulin Lointain]","","21","2.38","0.95","33"
"50.0093444","3.7515986","H705311001","Le Morteau au Nouvion-en-Thiérache [Moulin Lointain]","","21","2.38","0.95","33"
